"id","state","name"
"US10buff012","Nebraska","NE GIBBON"
"US10buff013","Nebraska","NE ELM CREEK"
"US10buff015","Nebraska","NE AMHERST"
"US10buff017","Nebraska","NE KEARNEY"
"US10buff018","Nebraska","NE KEARNEY"
"US10buff019","Nebraska","NE RAVENNA"
"US10buff020","Nebraska","NE KEARNEY"
"US10buff025","Nebraska","NE KEARNEY"
"US10buff034","Nebraska","NE GIBBON"
"US10buff036","Nebraska","NE RIVERDALE"
"US10buff039","Nebraska","NE GIBBON"
"US10burt001","Nebraska","NE TEKAMAH"
"US10burt002","Nebraska","NE CRAIG"
"US10burt003","Nebraska","NE OAKLAND"
"US10burt004","Nebraska","NE CRAIG"
"US10butl003","Nebraska","NE SHELBY"
"US10butl004","Nebraska","NE RISING CITY"
"US10butl005","Nebraska","NE RISING CITY"
"US10butl008","Nebraska","NE BRAINARD"
"US10butl010","Nebraska","NE RISING CITY"
"US10butl011","Nebraska","NE BELLWOOD"
"US10butl013","Nebraska","NE BELLWOOD"
"US10butl015","Nebraska","NE ULYSSES"
"US10butl020","Nebraska","NE DAVID CITY"
"US10cass001","Nebraska","NE PLATTSMOUTH"
"US10cass005","Nebraska","NE WEEPING WATER"
"US10cass010","Nebraska","NE EAGLE"
"US10cass011","Nebraska","NE PLATTSMOUTH"
"US10ceda001","Nebraska","NE HARTINGTON"
"US10ceda002","South Dakota","NE ST. HELENA"
"US10ceda003","Nebraska","NE RANDOLPH"
"US10ceda004","South Dakota","NE CROFTON"
"US10ceda005","South Dakota","NE CROFTON"
"US10ceda006","Nebraska","NE COLERIDGE"
"US10ceda008","Nebraska","NE HARTINGTON"
"US10ceda009","Nebraska","NE COLERIDGE"
"US10ceda010","Nebraska","NE WYNOT"
"US10ceda011","South Dakota","NE FORDYCE"
"US10ceda012","Nebraska","NE COLERIDGE"
"US10ceda013","Nebraska","NE HARTINGTON"
"US10ceda014","Nebraska","NE LAUREL"
"US10ceda015","Nebraska","NE RANDOLPH"
